selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.25,5,q1_customer_orders,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,4,4,,
0.25,5,q1_customer_orders,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q1_customer_orders,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q1_customer_orders,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q1_customer_orders,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q3_support_tickets,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,0,52,104,,
0.25,5,q3_support_tickets,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,154,154,,
0.25,5,q3_support_tickets,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,0,24,24,,
0.25,5,q3_support_tickets,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.25,5,q3_support_tickets,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q3_support_tickets,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q3_support_tickets,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,0,52,52,,
0.25,5,q3_support_tickets,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q4_revenue_by_region,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q4_revenue_by_region,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,4,8,,
0.25,5,q4_revenue_by_region,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,0,4,8,,
0.25,5,q4_revenue_by_region,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,4,8,,
0.25,5,q4_revenue_by_region,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q4_revenue_by_region,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.25,5,q4_revenue_by_region,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q4_revenue_by_region,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q7_customer_summary,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q7_customer_summary,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,57,57,,
0.25,5,q7_customer_summary,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,0,31,43,,
0.25,5,q7_customer_summary,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.25,5,q7_customer_summary,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q7_customer_summary,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q7_customer_summary,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q7_customer_summary,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q10_acl_customer_rows,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,0,74,148,,
0.25,5,q10_acl_customer_rows,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,189,189,,
0.25,5,q10_acl_customer_rows,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q10_acl_customer_rows,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,3,3,,
0.25,5,q10_acl_customer_rows,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q10_acl_customer_rows,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q10_acl_customer_rows,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,0,51,51,,
0.25,5,q10_acl_customer_rows,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q12_product_segment_revenue,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q12_product_segment_revenue,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,27,53,,
0.25,5,q12_product_segment_revenue,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,0,27,53,,
0.25,5,q12_product_segment_revenue,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,22,43,,
0.25,5,q12_product_segment_revenue,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q12_product_segment_revenue,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,1,2,,
0.25,5,q12_product_segment_revenue,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q12_product_segment_revenue,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q16_region_product_mix,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q16_region_product_mix,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,36,70,,
0.25,5,q16_region_product_mix,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,0,36,70,,
0.25,5,q16_region_product_mix,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,0,29,57,,
0.25,5,q16_region_product_mix,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q16_region_product_mix,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,2,2,,
0.25,5,q16_region_product_mix,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,5,q16_region_product_mix,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.25,6,q1_customer_orders,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,0,41,82,,
