selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.05,3,q5_high_value_segments,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,5,8,,
0.05,3,q6_lineitem_product_count,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q6_lineitem_product_count,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,8,11,,
0.05,3,q7_customer_summary,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q7_customer_summary,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,204,204,,
0.05,3,q8_sensitive_product_scan,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q8_sensitive_product_scan,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,42,46,,
0.05,3,q9_ticket_topic_segments,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q9_ticket_topic_segments,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,25,30,,
0.05,3,q10_acl_customer_rows,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q10_acl_customer_rows,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q11_order_ticket_bridge,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q11_order_ticket_bridge,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q11_order_ticket_bridge,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
